shops,ratings,userids
ya-kun-kaya-toast-singapore-13,4.0,23
ya-kun-kaya-toast-singapore-13,4.0,2043
refuel-cafe-singapore,5.0,2043
lucky-food-centre-singapore,3.0,2043
2am-dessert-bar-singapore,5.0,1970
2am-dessert-bar-singapore,5.0,1123
2am-dessert-bar-singapore,5.0,220
2am-dessert-bar-singapore,5.0,1602
2am-dessert-bar-singapore,5.0,2540
2am-dessert-bar-singapore,5.0,2163
2am-dessert-bar-singapore,5.0,992
2am-dessert-bar-singapore,5.0,1882
2am-dessert-bar-singapore,5.0,1213
2am-dessert-bar-singapore,5.0,2473
2am-dessert-bar-singapore,5.0,328
2am-dessert-bar-singapore,5.0,2043
stray-by-fatcat-singapore,4.0,675
stray-by-fatcat-singapore,4.0,2479
stray-by-fatcat-singapore,4.0,1359
stray-by-fatcat-singapore,4.0,2043
cedele-singapore-55,4.0,91
cedele-singapore-55,4.0,2043
kraftwich-by-swissbake-singapore,5.0,2043
tuckshop-singapore,4.0,2043
dunkin-donuts-singapore,3.0,1359
dunkin-donuts-singapore,3.0,2043
the-coffee-bean-and-tea-leaf-singapore-29,2.0,2043
bread-and-hearth-singapore,5.0,186
bread-and-hearth-singapore,5.0,27
bread-and-hearth-singapore,5.0,306
bread-and-hearth-singapore,5.0,1075
bread-and-hearth-singapore,5.0,2303
bread-and-hearth-singapore,5.0,2073
bread-and-hearth-singapore,5.0,2043
the-basic-cafe-singapore,5.0,2043
artisan-boulangerie-co-singapore-7,4.0,1486
artisan-boulangerie-co-singapore-7,4.0,992
artisan-boulangerie-co-singapore-7,4.0,2043
coffee-bandits-singapore,4.0,665
coffee-bandits-singapore,4.0,675
coffee-bandits-singapore,4.0,306
coffee-bandits-singapore,4.0,2043
mushroom-cafe-singapore,4.0,2043
kk-delicacies-singapore,5.0,2043
olivia-and-co-singapore,4.0,2043
old-hen-coffee-bar-singapore-2,4.0,1412
old-hen-coffee-bar-singapore-2,4.0,1051
old-hen-coffee-bar-singapore-2,4.0,1585
old-hen-coffee-bar-singapore-2,4.0,75
old-hen-coffee-bar-singapore-2,4.0,1475
old-hen-coffee-bar-singapore-2,4.0,1123
old-hen-coffee-bar-singapore-2,4.0,2237
old-hen-coffee-bar-singapore-2,4.0,2445
old-hen-coffee-bar-singapore-2,4.0,789
